# {"t_start": 1680441515.1760306, "env_id": "MsPacmanNoFrameskip-v4"} 
r,l,t
300.0,517,4.215441
170.0,428,4.645922
180.0,493,5.133941
150.0,306,5.45098
310.0,518,5.986937
200.0,407,6.393484
190.0,468,6.858703
160.0,471,7.331001
280.0,506,7.832717
250.0,473,8.303237
110.0,381,8.680331
550.0,741,9.41186
220.0,507,9.914211
260.0,483,10.391799
390.0,485,10.8741
220.0,433,11.302813
120.0,312,11.610782
170.0,421,12.026875
220.0,442,12.464437
170.0,411,12.871259
640.0,681,13.544959
